time,标记点0(Abs),标记点0(Y),标记点0(X),标记点0(Vel-X),标记点0(Vel-Y),标记点0(Vel-Abs),标记点0(Acc-Abs),标记点0(Acc-Y),标记点0(Acc-X),标记点1(Abs),标记点1(Y),标记点1(X),标记点1(Vel-X),标记点1(Vel-Y),标记点1(Vel-Abs),标记点1(Acc-Abs),标记点1(Acc-Y),标记点1(Acc-X)
s,m,m,m,m/s ,m/s ,m/s ,m/s^2 ,m/s^2 ,m/s^2 ,m,m,m,m/s ,m/s ,m/s ,m/s^2 ,m/s^2 ,m/s^2 
0,,,,,,,,,,,,,,,,,,
0.000125,,,,,,,,,,,,,,,,,,
0.00025,,,,,,,,,,,,,,,,,,
0.000375,,,,,,,,,,,,,,,,,,
0.0005,,,,,,,,,,,,,,,,,,
0.000625,,,,,,,,,,,,,,,,,,
0.00075,,,,,,,,,,,,,,,,,,
0.000875,,,,,,,,,,,,,,,,,,
0.001,,,,,,,,,,,,,,,,,,
0.001125,,,,,,,,,,,,,,,,,,
0.00125,,,,,,,,,,,,,,,,,,
0.001375,,,,,,,,,,,,,,,,,,
0.0015,,,,,,,,,,,,,,,,,,
0.001625,,,,,,,,,,,,,,,,,,
0.00175,,,,,,,,,,,,,,,,,,
0.001875,,,,,,,,,,,,,,,,,,
0.002,,,,,,,,,,,,,,,,,,
0.002125,,,,,,,,,,,,,,,,,,
0.00225,,,,,,,,,,,,,,,,,,
0.002375,,,,,,,,,,,,,,,,,,
0.0025,,,,,,,,,,,,,,,,,,
0.002625,,,,,,,,,,,,,,,,,,
0.00275,,,,,,,,,,,,,,,,,,
0.002875,,,,,,,,,,,,,,,,,,
0.003,,,,,,,,,,,,,,,,,,
0.003125,,,,,,,,,,,,,,,,,,
0.00325,,,,,,,,,,,,,,,,,,
0.003375,,,,,,,,,,,,,,,,,,
0.0035,,,,,,,,,,,,,,,,,,
0.003625,,,,,,,,,,,,,,,,,,
0.00375,,,,,,,,,,,,,,,,,,
0.003875,,,,,,,,,,,,,,,,,,
0.004,,,,,,,,,,,,,,,,,,
0.004125,,,,,,,,,,,,,,,,,,
0.00425,,,,,,,,,,,,,,,,,,
0.004375,,,,,,,,,,,,,,,,,,
0.0045,,,,,,,,,,,,,,,,,,
0.004625,,,,,,,,,,,,,,,,,,
0.00475,,,,,,,,,,,,,,,,,,
0.004875,,,,,,,,,,,,,,,,,,
0.005,,,,,,,,,,,,,,,,,,
0.005125,,,,,,,,,,,,,,,,,,
0.00525,,,,,,,,,,,,,,,,,,
0.005375,,,,,,,,,,,,,,,,,,
0.0055,,,,,,,,,,,,,,,,,,
0.005625,,,,,,,,,,,,,,,,,,
0.00575,,,,,,,,,,,,,,,,,,
0.005875,,,,,,,,,,,,,,,,,,
0.006,,,,,,,,,,,,,,,,,,
0.006125,,,,,,,,,,,,,,,,,,
0.00625,,,,,,,,,,,,,,,,,,
0.006375,,,,,,,,,,,,,,,,,,
0.0065,,,,,,,,,,,,,,,,,,
0.006625,,,,,,,,,,,,,,,,,,
0.00675,,,,,,,,,,,,,,,,,,
0.006875,,,,,,,,,,,,,,,,,,
0.007,,,,,,,,,,,,,,,,,,
0.007125,,,,,,,,,,,,,,,,,,
0.00725,,,,,,,,,,,,,,,,,,
0.007375,,,,,,,,,,,,,,,,,,
0.0075,,,,,,,,,,,,,,,,,,
0.007625,,,,,,,,,,,,,,,,,,
0.00775,,,,,,,,,,,,,,,,,,
0.007875,,,,,,,,,,,,,,,,,,
0.008,,,,,,,,,,,,,,,,,,
0.008125,,,,,,,,,,,,,,,,,,
0.00825,,,,,,,,,,,,,,,,,,
0.008375,,,,,,,,,,,,,,,,,,
0.0085,,,,,,,,,,,,,,,,,,
0.008625,,,,,,,,,,,,,,,,,,
0.00875,,,,,,,,,,,,,,,,,,
0.008875,,,,,,,,,,,,,,,,,,
0.009,,,,,,,,,,,,,,,,,,
0.009125,,,,,,,,,,,,,,,,,,
0.00925,,,,,,,,,,,,,,,,,,
0.009375,,,,,,,,,,,,,,,,,,
0.0095,,,,,,,,,,,,,,,,,,
0.009625,,,,,,,,,,,,,,,,,,
0.00975,,,,,,,,,,,,,,,,,,
0.009875,,,,,,,,,,,,,,,,,,
0.01,,,,,,,,,,,,,,,,,,
0.010125,,,,,,,,,,,,,,,,,,
0.01025,,,,,,,,,,,,,,,,,,
0.010375,,,,,,,,,,,,,,,,,,
0.0105,,,,,,,,,,,,,,,,,,
0.010625,,,,,,,,,,,,,,,,,,
0.01075,,,,,,,,,,,,,,,,,,
0.010875,,,,,,,,,,,,,,,,,,
0.011,,,,,,,,,,,,,,,,,,
0.011125,,,,,,,,,,,,,,,,,,
0.01125,,,,,,,,,,,,,,,,,,
0.011375,,,,,,,,,,,,,,,,,,
0.0115,,,,,,,,,,,,,,,,,,
0.011625,,,,,,,,,,,,,,,,,,
0.01175,,,,,,,,,,,,,,,,,,
0.011875,,,,,,,,,,,,,,,,,,
0.012,,,,,,,,,,,,,,,,,,
0.012125,,,,,,,,,,,,,,,,,,
0.01225,,,,,,,,,,,,,,,,,,
0.012375,,,,,,,,,,,,,,,,,,
0.0125,,,,,,,,,,,,,,,,,,
0.012625,,,,,,,,,,,,,,,,,,
0.01275,,,,,,,,,,,,,,,,,,
0.012875,,,,,,,,,,,,,,,,,,
0.013,,,,,,,,,,,,,,,,,,
0.013125,,,,,,,,,,,,,,,,,,
0.01325,,,,,,,,,,,,,,,,,,
0.013375,,,,,,,,,,,,,,,,,,
0.0135,,,,,,,,,,,,,,,,,,
0.013625,,,,,,,,,,,,,,,,,,
0.01375,,,,,,,,,,,,,,,,,,
0.013875,,,,,,,,,,,,,,,,,,
0.014,,,,,,,,,,,,,,,,,,
0.014125,,,,,,,,,,,,,,,,,,
0.01425,,,,,,,,,,,,,,,,,,
0.014375,,,,,,,,,,,,,,,,,,
0.0145,,,,,,,,,,,,,,,,,,
0.014625,,,,,,,,,,,,,,,,,,
0.01475,,,,,,,,,,,,,,,,,,
0.014875,,,,,,,,,,,,,,,,,,
0.015,,,,,,,,,,,,,,,,,,
0.015125,,,,,,,,,,,,,,,,,,
0.01525,,,,,,,,,,,,,,,,,,
0.015375,,,,,,,,,,,,,,,,,,
0.0155,,,,,,,,,,,,,,,,,,
0.015625,,,,,,,,,,,,,,,,,,
0.01575,,,,,,,,,,,,,,,,,,
0.015875,,,,,,,,,,,,,,,,,,
0.016,,,,,,,,,,,,,,,,,,
0.016125,,,,,,,,,,,,,,,,,,
0.01625,,,,,,,,,,,,,,,,,,
0.016375,,,,,,,,,,,,,,,,,,
0.0165,,,,,,,,,,,,,,,,,,
0.016625,,,,,,,,,,,,,,,,,,
0.01675,,,,,,,,,,,,,,,,,,
0.016875,,,,,,,,,,,,,,,,,,
0.017,,,,,,,,,,,,,,,,,,
0.017125,,,,,,,,,,,,,,,,,,
0.01725,,,,,,,,,,,,,,,,,,
0.017375,,,,,,,,,,,,,,,,,,
0.0175,,,,,,,,,,,,,,,,,,
0.017625,,,,,,,,,,,,,,,,,,
0.01775,,,,,,,,,,,,,,,,,,
0.017875,,,,,,,,,,,,,,,,,,
0.018,,,,,,,,,,,,,,,,,,
0.018125,,,,,,,,,,,,,,,,,,
0.01825,,,,,,,,,,,,,,,,,,
0.018375,,,,,,,,,,,,,,,,,,
0.0185,,,,,,,,,,,,,,,,,,
0.018625,,,,,,,,,,,,,,,,,,
0.01875,,,,,,,,,,,,,,,,,,
0.018875,,,,,,,,,,,,,,,,,,
0.019,,,,,,,,,,,,,,,,,,
0.019125,,,,,,,,,,,,,,,,,,
0.01925,,,,,,,,,,,,,,,,,,
0.019375,,,,,,,,,,,,,,,,,,
